row_index,in_roi,roi_width_px,x_scale_m_per_px,y_scale_m_per_px
560,1,920,0.00357799,0.01199052
561,1,920,0.00357469,0.01196617
562,1,920,0.00357139,0.01194170
563,1,920,0.00356812,0.01191747
564,1,920,0.00356485,0.01189313
565,1,920,0.00356153,0.01186914
566,1,920,0.00355826,0.01184503
567,1,920,0.00355499,0.01182098
568,1,920,0.00355176,0.01179711
569,1,920,0.00354848,0.01177330
570,1,920,0.00354527,0.01174949
571,1,920,0.00354204,0.01172580
572,1,920,0.00353879,0.01170217
573,1,921,0.00353628,0.01167946
574,1,921,0.00353307,0.01165594
575,1,921,0.00352985,0.01163255
576,1,921,0.00352664,0.01160922
577,1,921,0.00352348,0.01158588
578,1,921,0.00352028,0.01156273
579,1,921,0.00351711,0.01153952
580,1,921,0.00351392,0.01151648
581,1,921,0.00351078,0.01149351
582,1,921,0.00350762,0.01147053
583,1,921,0.00350447,0.01144774
584,1,921,0.00350133,0.01142488
585,1,921,0.00349818,0.01140214
586,1,921,0.00349504,0.01137953
587,1,921,0.00349194,0.01135691
588,1,921,0.00348881,0.01133435
589,1,921,0.00348571,0.01131191
590,1,921,0.00348261,0.01128954
591,1,921,0.00347953,0.01126722
592,1,921,0.00347643,0.01124496
593,1,921,0.00347335,0.01122276
594,1,921,0.00347027,0.01120062
595,1,921,0.00346721,0.01117854
596,1,921,0.00346413,0.01115658
597,1,921,0.00346109,0.01113462
598,1,921,0.00345803,0.01111278
599,1,921,0.00345498,0.01109094
600,1,921,0.00345196,0.01106921
601,1,921,0.00344890,0.01104755
602,1,921,0.00344591,0.01102595
603,1,921,0.00344289,0.01100435
604,1,921,0.00343988,0.01098292
605,1,921,0.00343690,0.01096144
606,1,921,0.00343387,0.01094014
607,1,921,0.00343088,0.01091883
608,1,921,0.00342791,0.01089759
609,1,921,0.00342492,0.01087637
610,1,921,0.00342197,0.01085531
611,1,921,0.00341898,0.01083424
612,1,921,0.00341605,0.01081324
613,1,921,0.00341308,0.01079232
